Arabic,English
مرحبا (Marhaban),Hello
وداعا (Wada'an),Goodbye
نعم (Na'am),Yes
لا (La),No
من (Min),Who
ماذا (Mada),What
أين (Ayna),Where
كيف (Kayf),How
ليش (Lesh),Why
متى (Mata),When
صباح الخير (Sabah al-khayr),Good morning
مساء الخير (Masa' al-khayr),Good evening
شكرا (Shukran),Thank you
عفوا (Afwan),You're welcome
آسف (Asif),Sorry
لو سمحت (Law samaht),Please
اسم (Ism),Name
سعيد (Sa'id),Happy
حزين (Hazeen),Sad
أم (Um),Mother
أب (Ab),Father
أخ (Akh),Brother
أخت (Ukht),Sister
بيت (Bayt),House
سيارة (Sayyara),Car
أكل (Akal),Food
ماء (Ma'),Water
شاي (Shay),Tea
قهوة (Qahwa),Coffee
كتاب (Kitaab),Book
مدرسة (Madrasah),School
جامعة (Jaami'a),University
عمل (Aamal),Work
الوقت (Al-waqt),Time
سفر (Safar),Travel
مدينة (Madinah),City
قرية (Qaryah),Village
محل (Mahall),Shop
سوق (Souq),Market
طريق (Tariq),Street
صديق (Sadiq),Friend
عدو (Adu),Enemy
رجل (Rajul),Man
امرأة (Imra'a),Woman
طفل (Tifl),Child
شباب (Shabaab),Youth
كبير (Kabeer),Old (age)
صغير (Sagheer),Young
حار (Haar),Hot (temperature)
بارد (Baared),Cold
طويل (Tawil),Tall
قصير (Qaseer),Short
جديد (Jadeed),New
قديم (Qadeem),Old (object)
غاضب (Ghadib),Angry
مريض (Mareed),Sick
صحي (Sehi),Healthy
غني (Ghani),Rich
فقير (Faqeer),Poor
بسيط (Baseet),Simple
معقد (Mu'aqqad),Complex
أبيض (Abyad),White
أسود (Aswad),Black
أحمر (Ahmar),Red
أخضر (Akhthar),Green
أزرق (Azraq),Blue
أصفر (Asfar),Yellow
رمادي (Ramadi),Gray
مهم (Muhimm),Important
مفيد (Mufeid),Useful
ممتع (Mut'a),Enjoyable
جيد (Jayyid),Good
سيء (Sayye'),Bad


